2025-08-24 17:20:39 - __main__ - INFO - ====== 开始数据获取 ======
2025-08-24 17:20:39 - __main__ - INFO - 正常模式：使用10年数据
2025-08-24 17:20:39 - src.data_storage.data_saver - INFO - init saver, file path: ./data/stock_data.db
2025-08-24 17:20:39 - src.data_storage.data_saver - INFO - read stock_daily data from sqlite, sql command: select * from stock_daily where trade_date >= 20150827 and trade_date <= 20250824
2025-08-24 17:20:41 - __main__ - INFO - 获取数据完成: 20220104至20250819, 共691696条记录, 800支股票
2025-08-24 17:20:41 - __main__ - INFO - 过滤后剩余股票: 800
2025-08-24 17:20:41 - __main__ - INFO - ====== 开始计算技术指标 ======
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000002.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000651.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000661.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000683.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000703.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000708.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000709.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000723.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000725.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000728.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000729.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000733.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000738.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000739.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000768.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000750.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000783.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000776.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000786.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000785.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000792.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000800.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000807.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000825.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000830.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000831.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000858.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000876.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000878.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000883.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000887.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000893.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000895.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000898.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000921.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000932.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000933.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000937.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000938.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000951.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000958.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000959.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000960.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000963.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000967.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000975.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000977.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000983.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000987.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000997.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000988.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 000999.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001213.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001286.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001389.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001391.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001289.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001965.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001979.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 001696.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:42 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002007.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002001.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002008.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002025.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002027.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002028.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002044.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002049.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002050.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002056.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002064.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002065.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002074.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002078.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002080.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002085.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002120.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002129.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002130.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002138.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002142.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002152.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002153.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002155.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002156.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002179.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002185.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002180.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002195.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002202.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002203.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002223.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002230.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002236.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002241.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002252.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002244.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002261.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002262.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002266.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002273.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002281.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002294.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002299.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002304.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002311.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002312.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
2025-08-24 17:20:43 - src.data_preprocessing.technical_indicators - WARNING - Missing features for stock 002318.SZ: {'VOLUME', 'MA', 'BBANDS', 'CANDLESTICK'}
